date,country_region,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-04-13,Malaysia,-80.28571428571429,-60.285714285714285,36.142857142857146
2020-04-14,Malaysia,-80.14285714285714,-60.0,36.142857142857146
2020-04-15,Malaysia,-80.14285714285714,-59.714285714285715,36.285714285714285
2020-04-16,Malaysia,-79.85714285714286,-59.57142857142857,36.42857142857143
2020-04-17,Malaysia,-79.57142857142857,-59.285714285714285,36.42857142857143
2020-04-18,Malaysia,-79.57142857142857,-59.285714285714285,36.57142857142857
2020-04-19,Malaysia,-79.57142857142857,-59.142857142857146,36.57142857142857
2020-04-20,Malaysia,-79.57142857142857,-59.0,36.57142857142857
2020-04-21,Malaysia,-79.42857142857143,-58.714285714285715,36.42857142857143
2020-04-22,Malaysia,-79.14285714285714,-58.285714285714285,36.142857142857146
2020-04-23,Malaysia,-79.0,-57.857142857142854,35.714285714285715
2020-04-24,Malaysia,-79.28571428571429,-57.857142857142854,35.714285714285715
2020-04-25,Malaysia,-79.28571428571429,-57.57142857142857,35.57142857142857
2020-04-26,Malaysia,-79.28571428571429,-57.57142857142857,35.57142857142857
2020-04-27,Malaysia,-79.28571428571429,-57.142857142857146,35.57142857142857
2020-04-28,Malaysia,-79.28571428571429,-56.857142857142854,35.42857142857143
2020-04-29,Malaysia,-79.14285714285714,-56.57142857142857,35.142857142857146
2020-04-30,Malaysia,-78.71428571428571,-56.0,35.0
2020-05-01,Malaysia,-78.14285714285714,-57.285714285714285,35.142857142857146
2020-05-02,Malaysia,-77.14285714285714,-56.42857142857143,34.857142857142854
2020-05-03,Malaysia,-76.28571428571429,-55.714285714285715,34.57142857142857
2020-05-04,Malaysia,-74.57142857142857,-53.857142857142854,33.57142857142857
2020-05-05,Malaysia,-72.71428571428571,-51.857142857142854,32.714285714285715
2020-05-06,Malaysia,-70.57142857142857,-49.857142857142854,31.714285714285715
2020-05-07,Malaysia,-69.28571428571429,-50.285714285714285,31.285714285714285
2020-05-08,Malaysia,-67.0,-45.857142857142854,29.428571428571427
2020-05-09,Malaysia,-65.0,-43.857142857142854,28.285714285714285
2020-05-10,Malaysia,-62.857142857142854,-42.285714285714285,27.142857142857142
2020-05-11,Malaysia,-62.0,-42.857142857142854,26.857142857142858
2020-05-12,Malaysia,-60.857142857142854,-41.57142857142857,26.142857142857142
2020-05-13,Malaysia,-59.857142857142854,-40.142857142857146,25.571428571428573
2020-05-14,Malaysia,-58.57142857142857,-36.57142857142857,24.142857142857142
2020-05-15,Malaysia,-58.0,-35.142857142857146,23.285714285714285
2020-05-16,Malaysia,-57.42857142857143,-34.0,22.714285714285715
2020-05-17,Malaysia,-57.0,-33.0,22.571428571428573
2020-05-18,Malaysia,-55.857142857142854,-30.428571428571427,21.571428571428573
2020-05-19,Malaysia,-55.0,-29.714285714285715,21.0
2020-05-20,Malaysia,-54.142857142857146,-29.428571428571427,20.571428571428573
2020-05-21,Malaysia,-53.142857142857146,-29.142857142857142,20.428571428571427
2020-05-22,Malaysia,-52.285714285714285,-29.428571428571427,20.285714285714285
2020-05-23,Malaysia,-51.42857142857143,-30.428571428571427,20.0
2020-05-24,Malaysia,-50.857142857142854,-32.857142857142854,19.285714285714285
2020-05-25,Malaysia,-51.714285714285715,-38.57142857142857,20.428571428571427
2020-05-26,Malaysia,-52.714285714285715,-43.285714285714285,21.571428571428573
2020-05-27,Malaysia,-53.285714285714285,-44.285714285714285,21.714285714285715
2020-05-28,Malaysia,-53.857142857142854,-44.57142857142857,21.714285714285715
2020-05-29,Malaysia,-54.285714285714285,-44.142857142857146,21.857142857142858
2020-05-30,Malaysia,-54.57142857142857,-42.42857142857143,21.857142857142858
2020-05-31,Malaysia,-54.714285714285715,-39.0,22.142857142857142
2020-06-01,Malaysia,-53.285714285714285,-33.0,20.714285714285715
2020-06-02,Malaysia,-51.714285714285715,-27.714285714285715,19.285714285714285
2020-06-03,Malaysia,-50.857142857142854,-25.857142857142858,18.714285714285715
2020-06-04,Malaysia,-50.142857142857146,-24.714285714285715,18.285714285714285
2020-06-05,Malaysia,-49.42857142857143,-23.714285714285715,17.714285714285715
2020-06-06,Malaysia,-48.714285714285715,-23.0,17.285714285714285
2020-06-07,Malaysia,-47.857142857142854,-22.714285714285715,16.857142857142858
2020-06-08,Malaysia,-48.0,-27.142857142857142,17.714285714285715
2020-06-09,Malaysia,-47.42857142857143,-26.571428571428573,17.285714285714285
2020-06-10,Malaysia,-45.714285714285715,-26.142857142857142,16.714285714285715
2020-06-11,Malaysia,-43.857142857142854,-25.714285714285715,16.0
2020-06-12,Malaysia,-41.714285714285715,-25.571428571428573,15.285714285714286
2020-06-13,Malaysia,-39.142857142857146,-25.571428571428573,14.428571428571429
2020-06-14,Malaysia,-36.57142857142857,-25.428571428571427,13.571428571428571
2020-06-15,Malaysia,-33.714285714285715,-20.142857142857142,11.714285714285714
2020-06-16,Malaysia,-31.857142857142858,-20.0,11.142857142857142
2020-06-17,Malaysia,-31.142857142857142,-19.857142857142858,10.857142857142858
2020-06-18,Malaysia,-30.428571428571427,-19.857142857142858,10.714285714285714
2020-06-19,Malaysia,-29.571428571428573,-19.714285714285715,10.571428571428571
2020-06-20,Malaysia,-28.857142857142858,-19.571428571428573,10.428571428571429
2020-06-21,Malaysia,-28.0,-19.714285714285715,10.285714285714286
2020-06-22,Malaysia,-27.285714285714285,-19.857142857142858,10.0
2020-06-23,Malaysia,-26.714285714285715,-20.0,10.0
2020-06-24,Malaysia,-26.571428571428573,-19.714285714285715,9.857142857142858
2020-06-25,Malaysia,-26.285714285714285,-19.428571428571427,9.714285714285714
2020-06-26,Malaysia,-26.0,-19.285714285714285,9.428571428571429
2020-06-27,Malaysia,-25.428571428571427,-19.571428571428573,9.285714285714286
2020-06-28,Malaysia,-25.0,-19.285714285714285,9.142857142857142
2020-06-29,Malaysia,-25.142857142857142,-18.714285714285715,9.142857142857142
2020-06-30,Malaysia,-25.428571428571427,-18.142857142857142,8.857142857142858
2020-07-01,Malaysia,-25.0,-17.857142857142858,8.714285714285714
2020-07-02,Malaysia,-24.714285714285715,-17.428571428571427,8.428571428571429
2020-07-03,Malaysia,-24.285714285714285,-17.0,8.285714285714286
2020-07-04,Malaysia,-23.857142857142858,-16.857142857142858,8.142857142857142
2020-07-05,Malaysia,-23.285714285714285,-16.857142857142858,8.0
2020-07-06,Malaysia,-23.142857142857142,-16.714285714285715,7.857142857142857
2020-07-07,Malaysia,-22.714285714285715,-16.857142857142858,7.857142857142857
2020-07-08,Malaysia,-22.571428571428573,-16.714285714285715,7.714285714285714
2020-07-09,Malaysia,-22.428571428571427,-16.571428571428573,7.714285714285714
2020-07-10,Malaysia,-22.285714285714285,-16.428571428571427,7.571428571428571
2020-07-11,Malaysia,-22.142857142857142,-16.571428571428573,7.571428571428571
2020-07-12,Malaysia,-22.0,-16.428571428571427,7.571428571428571
2020-07-13,Malaysia,-22.0,-16.285714285714285,7.571428571428571
2020-07-14,Malaysia,-21.857142857142858,-15.857142857142858,7.428571428571429
2020-07-15,Malaysia,-22.714285714285715,-15.571428571428571,7.428571428571429
2020-07-16,Malaysia,-23.714285714285715,-15.285714285714286,7.428571428571429
2020-07-17,Malaysia,-24.571428571428573,-15.0,7.428571428571429
2020-07-18,Malaysia,-26.0,-14.571428571428571,7.571428571428571
2020-07-19,Malaysia,-27.285714285714285,-14.285714285714286,7.714285714285714
2020-07-20,Malaysia,-28.0,-14.0,7.714285714285714
2020-07-21,Malaysia,-29.0,-13.714285714285714,7.714285714285714
2020-07-22,Malaysia,-29.142857142857142,-14.0,7.857142857142857
2020-07-23,Malaysia,-28.857142857142858,-13.857142857142858,7.714285714285714
2020-07-24,Malaysia,-28.571428571428573,-13.714285714285714,7.714285714285714
2020-07-25,Malaysia,-28.0,-13.714285714285714,7.428571428571429
2020-07-26,Malaysia,-27.857142857142858,-13.714285714285714,7.428571428571429
2020-07-27,Malaysia,-27.571428571428573,-13.714285714285714,7.285714285714286
2020-07-28,Malaysia,-26.714285714285715,-13.714285714285714,7.285714285714286
2020-07-29,Malaysia,-23.857142857142858,-13.857142857142858,6.714285714285714
2020-07-30,Malaysia,-20.285714285714285,-16.571428571428573,6.285714285714286
2020-07-31,Malaysia,-20.714285714285715,-24.142857142857142,7.0
2020-08-01,Malaysia,-20.571428571428573,-27.571428571428573,7.0
2020-08-02,Malaysia,-18.142857142857142,-30.142857142857142,6.428571428571429
2020-08-03,Malaysia,-16.285714285714285,-31.428571428571427,6.285714285714286
2020-08-04,Malaysia,-16.142857142857142,-31.714285714285715,6.142857142857143
2020-08-05,Malaysia,-18.428571428571427,-31.285714285714285,6.428571428571429
2020-08-06,Malaysia,-21.857142857142858,-28.714285714285715,6.714285714285714
2020-08-07,Malaysia,-21.571428571428573,-21.142857142857142,5.714285714285714
2020-08-08,Malaysia,-21.857142857142858,-17.714285714285715,5.714285714285714
2020-08-09,Malaysia,-24.428571428571427,-15.0,6.142857142857143
2020-08-10,Malaysia,-26.571428571428573,-13.571428571428571,6.142857142857143
2020-08-11,Malaysia,-27.571428571428573,-13.285714285714286,6.142857142857143
2020-08-12,Malaysia,-28.142857142857142,-13.142857142857142,6.142857142857143
2020-08-13,Malaysia,-28.428571428571427,-13.0,6.142857142857143
2020-08-14,Malaysia,-28.857142857142858,-13.0,6.285714285714286
2020-08-15,Malaysia,-29.428571428571427,-13.0,6.285714285714286
2020-08-16,Malaysia,-30.0,-13.142857142857142,6.428571428571429
2020-08-17,Malaysia,-30.285714285714285,-13.0,6.428571428571429
2020-08-18,Malaysia,-30.428571428571427,-12.571428571428571,6.428571428571429
2020-08-19,Malaysia,-29.285714285714285,-12.428571428571429,6.142857142857143
2020-08-20,Malaysia,-28.428571428571427,-17.571428571428573,7.142857142857143
2020-08-21,Malaysia,-28.142857142857142,-18.857142857142858,7.285714285714286
2020-08-22,Malaysia,-27.428571428571427,-19.0,7.285714285714286
2020-08-23,Malaysia,-26.285714285714285,-19.571428571428573,7.0
2020-08-24,Malaysia,-25.285714285714285,-20.285714285714285,7.0
2020-08-25,Malaysia,-25.142857142857142,-20.428571428571427,6.857142857142857
2020-08-26,Malaysia,-26.142857142857142,-20.285714285714285,7.0
2020-08-27,Malaysia,-26.571428571428573,-14.857142857142858,5.857142857142857
2020-08-28,Malaysia,-25.571428571428573,-13.428571428571429,5.428571428571429
2020-08-29,Malaysia,-24.0,-13.571428571428571,5.0
2020-08-30,Malaysia,-22.571428571428573,-13.571428571428571,4.571428571428571
2020-08-31,Malaysia,-20.285714285714285,-20.142857142857142,5.285714285714286
2020-09-01,Malaysia,-19.142857142857142,-20.285714285714285,5.285714285714286
2020-09-02,Malaysia,-18.857142857142858,-20.428571428571427,5.285714285714286
2020-09-03,Malaysia,-19.0,-20.428571428571427,5.428571428571429
2020-09-04,Malaysia,-19.571428571428573,-20.428571428571427,5.714285714285714
2020-09-05,Malaysia,-21.0,-20.285714285714285,6.0
2020-09-06,Malaysia,-22.571428571428573,-19.714285714285715,6.428571428571429
2020-09-07,Malaysia,-25.285714285714285,-12.428571428571429,5.571428571428571
2020-09-08,Malaysia,-26.0,-12.285714285714286,5.571428571428571
2020-09-09,Malaysia,-26.0,-12.142857142857142,5.571428571428571
2020-09-10,Malaysia,-25.714285714285715,-12.285714285714286,5.428571428571429
2020-09-11,Malaysia,-25.857142857142858,-12.285714285714286,5.285714285714286
2020-09-12,Malaysia,-26.142857142857142,-12.285714285714286,5.285714285714286
2020-09-13,Malaysia,-26.285714285714285,-12.571428571428571,5.285714285714286
2020-09-14,Malaysia,-26.571428571428573,-12.285714285714286,5.428571428571429
2020-09-15,Malaysia,-26.0,-12.285714285714286,5.285714285714286
2020-09-16,Malaysia,-25.571428571428573,-19.142857142857142,6.714285714285714
2020-09-17,Malaysia,-26.0,-19.285714285714285,6.857142857142857
2020-09-18,Malaysia,-26.142857142857142,-19.285714285714285,7.142857142857143
2020-09-19,Malaysia,-26.142857142857142,-19.285714285714285,7.285714285714286
2020-09-20,Malaysia,-26.285714285714285,-19.285714285714285,7.571428571428571
2020-09-21,Malaysia,-26.142857142857142,-19.428571428571427,7.714285714285714
2020-09-22,Malaysia,-27.142857142857142,-19.428571428571427,8.142857142857142
2020-09-23,Malaysia,-27.571428571428573,-12.571428571428571,6.857142857142857
2020-09-24,Malaysia,-26.857142857142858,-12.714285714285714,7.0
2020-09-25,Malaysia,-26.142857142857142,-12.714285714285714,6.857142857142857
2020-09-26,Malaysia,-25.428571428571427,-13.0,6.857142857142857
2020-09-27,Malaysia,-24.714285714285715,-13.0,6.714285714285714
2020-09-28,Malaysia,-24.571428571428573,-13.0,6.714285714285714
2020-09-29,Malaysia,-24.428571428571427,-13.0,6.714285714285714
2020-09-30,Malaysia,-24.571428571428573,-13.142857142857142,6.571428571428571
2020-10-01,Malaysia,-25.285714285714285,-13.0,6.428571428571429
2020-10-02,Malaysia,-26.142857142857142,-13.285714285714286,6.285714285714286
2020-10-03,Malaysia,-27.428571428571427,-13.714285714285714,6.428571428571429
2020-10-04,Malaysia,-28.857142857142858,-14.142857142857142,6.571428571428571
2020-10-05,Malaysia,-29.714285714285715,-14.571428571428571,6.571428571428571
2020-10-06,Malaysia,-30.571428571428573,-15.0,6.571428571428571
2020-10-07,Malaysia,-31.714285714285715,-15.428571428571429,7.0
2020-10-08,Malaysia,-32.714285714285715,-15.571428571428571,7.285714285714286
2020-10-09,Malaysia,-33.857142857142854,-16.0,8.0
2020-10-10,Malaysia,-35.142857142857146,-16.0,8.571428571428571
2020-10-11,Malaysia,-36.285714285714285,-16.0,9.142857142857142
2020-10-12,Malaysia,-37.142857142857146,-16.285714285714285,9.571428571428571
2020-10-13,Malaysia,-37.0,-16.571428571428573,9.857142857142858
2020-10-14,Malaysia,-39.0,-17.285714285714285,10.714285714285714
2020-10-15,Malaysia,-41.142857142857146,-18.142857142857142,11.571428571428571
2020-10-16,Malaysia,-43.42857142857143,-18.571428571428573,12.285714285714286
2020-10-17,Malaysia,-45.857142857142854,-18.428571428571427,13.0
2020-10-18,Malaysia,-48.57142857142857,-18.571428571428573,13.857142857142858
2020-10-19,Malaysia,-50.285714285714285,-19.0,14.571428571428571
2020-10-20,Malaysia,-52.57142857142857,-19.428571428571427,15.285714285714286
2020-10-21,Malaysia,-52.42857142857143,-19.142857142857142,15.142857142857142
2020-10-22,Malaysia,-52.57142857142857,-19.571428571428573,15.428571428571429
2020-10-23,Malaysia,-52.714285714285715,-20.0,15.571428571428571
2020-10-24,Malaysia,-52.57142857142857,-20.0,15.428571428571429
2020-10-25,Malaysia,-52.42857142857143,-19.857142857142858,15.285714285714286
2020-10-26,Malaysia,-52.42857142857143,-20.142857142857142,15.285714285714286
2020-10-27,Malaysia,-52.285714285714285,-20.428571428571427,15.285714285714286
2020-10-28,Malaysia,-51.714285714285715,-20.857142857142858,15.142857142857142
2020-10-29,Malaysia,-51.857142857142854,-25.142857142857142,16.0
2020-10-30,Malaysia,-51.57142857142857,-25.428571428571427,15.857142857142858
2020-10-31,Malaysia,-51.285714285714285,-25.571428571428573,15.714285714285714
2020-11-01,Malaysia,-50.857142857142854,-25.857142857142858,15.571428571428571
2020-11-02,Malaysia,-50.714285714285715,-25.857142857142858,15.571428571428571
2020-11-03,Malaysia,-50.857142857142854,-25.857142857142858,15.571428571428571
2020-11-04,Malaysia,-51.42857142857143,-25.857142857142858,15.857142857142858
2020-11-05,Malaysia,-51.142857142857146,-21.285714285714285,14.714285714285714
2020-11-06,Malaysia,-51.42857142857143,-21.285714285714285,14.857142857142858
2020-11-07,Malaysia,-51.714285714285715,-21.0,15.0
2020-11-08,Malaysia,-51.142857142857146,-20.571428571428573,14.857142857142858
2020-11-09,Malaysia,-51.714285714285715,-21.0,15.285714285714286
2020-11-10,Malaysia,-52.285714285714285,-21.571428571428573,15.714285714285714
2020-11-11,Malaysia,-52.857142857142854,-22.285714285714285,16.142857142857142
2020-11-12,Malaysia,-53.285714285714285,-23.0,16.714285714285715
2020-11-13,Malaysia,-53.857142857142854,-23.428571428571427,17.142857142857142
2020-11-14,Malaysia,-55.285714285714285,-26.142857142857142,18.0
2020-11-15,Malaysia,-57.142857142857146,-27.714285714285715,18.714285714285715
2020-11-16,Malaysia,-57.285714285714285,-28.285714285714285,18.714285714285715
2020-11-17,Malaysia,-57.42857142857143,-28.285714285714285,18.714285714285715
2020-11-18,Malaysia,-57.42857142857143,-28.142857142857142,18.714285714285715
2020-11-19,Malaysia,-57.57142857142857,-28.0,18.571428571428573
2020-11-20,Malaysia,-57.42857142857143,-27.428571428571427,18.285714285714285
2020-11-21,Malaysia,-56.857142857142854,-24.714285714285715,17.857142857142858
2020-11-22,Malaysia,-56.42857142857143,-23.714285714285715,17.571428571428573
2020-11-23,Malaysia,-56.285714285714285,-23.0,17.428571428571427
2020-11-24,Malaysia,-56.142857142857146,-22.714285714285715,17.285714285714285
2020-11-25,Malaysia,-55.857142857142854,-22.428571428571427,17.0
2020-11-26,Malaysia,-55.42857142857143,-22.142857142857142,16.857142857142858
2020-11-27,Malaysia,-55.142857142857146,-22.0,16.714285714285715
2020-11-28,Malaysia,-54.57142857142857,-21.857142857142858,16.285714285714285
2020-11-29,Malaysia,-54.142857142857146,-21.714285714285715,16.0
2020-11-30,Malaysia,-53.714285714285715,-21.571428571428573,15.714285714285714
2020-12-01,Malaysia,-53.142857142857146,-21.428571428571427,15.571428571428571
2020-12-02,Malaysia,-52.857142857142854,-21.285714285714285,15.428571428571429
2020-12-03,Malaysia,-52.714285714285715,-21.142857142857142,15.285714285714286
2020-12-04,Malaysia,-52.42857142857143,-21.0,15.142857142857142
2020-12-05,Malaysia,-52.0,-20.857142857142858,15.0
2020-12-06,Malaysia,-51.57142857142857,-20.714285714285715,14.857142857142858
2020-12-07,Malaysia,-50.857142857142854,-20.571428571428573,14.571428571428571
2020-12-08,Malaysia,-50.142857142857146,-20.285714285714285,14.285714285714286
2020-12-09,Malaysia,-49.142857142857146,-20.142857142857142,14.0
2020-12-10,Malaysia,-47.42857142857143,-20.142857142857142,13.714285714285714
2020-12-11,Malaysia,-45.714285714285715,-21.714285714285715,13.714285714285714
2020-12-12,Malaysia,-44.0,-22.142857142857142,13.285714285714286
2020-12-13,Malaysia,-41.57142857142857,-22.285714285714285,12.714285714285714
2020-12-14,Malaysia,-40.714285714285715,-22.428571428571427,12.714285714285714
2020-12-15,Malaysia,-40.0,-22.571428571428573,12.571428571428571
2020-12-16,Malaysia,-39.57142857142857,-22.428571428571427,12.571428571428571
2020-12-17,Malaysia,-39.42857142857143,-22.285714285714285,12.428571428571429
2020-12-18,Malaysia,-39.142857142857146,-20.571428571428573,12.0
2020-12-19,Malaysia,-38.142857142857146,-20.142857142857142,11.857142857142858
2020-12-20,Malaysia,-37.714285714285715,-20.142857142857142,11.857142857142858
2020-12-21,Malaysia,-37.0,-20.285714285714285,11.714285714285714
2020-12-22,Malaysia,-36.142857142857146,-20.428571428571427,11.571428571428571
2020-12-23,Malaysia,-35.0,-20.857142857142858,11.285714285714286
2020-12-24,Malaysia,-33.285714285714285,-21.714285714285715,10.857142857142858
2020-12-25,Malaysia,-32.714285714285715,-27.285714285714285,11.571428571428571
2020-12-26,Malaysia,-32.857142857142854,-28.571428571428573,11.714285714285714
2020-12-27,Malaysia,-31.714285714285715,-29.142857142857142,11.428571428571429
2020-12-28,Malaysia,-31.142857142857142,-29.571428571428573,11.285714285714286
2020-12-29,Malaysia,-30.857142857142858,-30.0,11.285714285714286
2020-12-30,Malaysia,-30.714285714285715,-30.285714285714285,11.428571428571429
2020-12-31,Malaysia,-30.714285714285715,-30.285714285714285,11.428571428571429
2021-01-01,Malaysia,-30.857142857142858,-30.285714285714285,11.571428571428571
2021-01-02,Malaysia,-30.571428571428573,-30.142857142857142,11.571428571428571
2021-01-03,Malaysia,-31.428571428571427,-29.857142857142858,12.0
2021-01-04,Malaysia,-31.857142857142858,-29.285714285714285,12.142857142857142
2021-01-05,Malaysia,-32.57142857142857,-28.714285714285715,12.285714285714286
2021-01-06,Malaysia,-33.42857142857143,-28.142857142857142,12.428571428571429
2021-01-07,Malaysia,-35.0,-27.285714285714285,12.857142857142858
2021-01-08,Malaysia,-35.42857142857143,-21.571428571428573,12.0
2021-01-09,Malaysia,-35.857142857142854,-20.285714285714285,11.857142857142858
2021-01-10,Malaysia,-36.285714285714285,-19.714285714285715,11.714285714285714
2021-01-11,Malaysia,-36.42857142857143,-19.428571428571427,11.571428571428571
2021-01-12,Malaysia,-35.142857142857146,-19.142857142857142,11.0
2021-01-13,Malaysia,-38.42857142857143,-20.857142857142858,12.285714285714286
2021-01-14,Malaysia,-42.0,-23.0,13.571428571428571
2021-01-15,Malaysia,-45.714285714285715,-25.285714285714285,14.857142857142858
2021-01-16,Malaysia,-50.42857142857143,-27.714285714285715,16.571428571428573
2021-01-17,Malaysia,-55.57142857142857,-30.285714285714285,18.428571428571427
2021-01-18,Malaysia,-59.42857142857143,-32.285714285714285,19.857142857142858
2021-01-19,Malaysia,-64.14285714285714,-34.42857142857143,21.571428571428573
2021-01-20,Malaysia,-64.14285714285714,-34.57142857142857,21.285714285714285
2021-01-21,Malaysia,-63.857142857142854,-34.285714285714285,21.142857142857142
2021-01-22,Malaysia,-64.28571428571429,-34.142857142857146,21.571428571428573
2021-01-23,Malaysia,-64.57142857142857,-33.857142857142854,21.857142857142858
2021-01-24,Malaysia,-64.85714285714286,-33.42857142857143,22.0
2021-01-25,Malaysia,-65.0,-33.142857142857146,22.0
2021-01-26,Malaysia,-65.0,-32.857142857142854,22.0
2021-01-27,Malaysia,-65.14285714285714,-32.57142857142857,22.142857142857142
2021-01-28,Malaysia,-66.28571428571429,-34.714285714285715,23.142857142857142
2021-01-29,Malaysia,-66.0,-34.285714285714285,22.857142857142858
2021-01-30,Malaysia,-65.57142857142857,-33.857142857142854,22.571428571428573
2021-01-31,Malaysia,-65.28571428571429,-33.57142857142857,22.285714285714285
2021-02-01,Malaysia,-65.42857142857143,-34.0,22.285714285714285
2021-02-02,Malaysia,-65.42857142857143,-33.714285714285715,22.142857142857142
2021-02-03,Malaysia,-65.28571428571429,-33.57142857142857,22.0
2021-02-04,Malaysia,-64.14285714285714,-31.0,20.857142857142858
2021-02-05,Malaysia,-63.714285714285715,-30.857142857142858,20.571428571428573
2021-02-06,Malaysia,-63.285714285714285,-30.714285714285715,20.285714285714285
2021-02-07,Malaysia,-62.857142857142854,-30.428571428571427,20.0
2021-02-08,Malaysia,-62.0,-29.571428571428573,19.428571428571427
2021-02-09,Malaysia,-61.285714285714285,-29.428571428571427,19.0
2021-02-10,Malaysia,-60.57142857142857,-29.571428571428573,18.571428571428573
2021-02-11,Malaysia,-60.285714285714285,-31.428571428571427,18.714285714285715
2021-02-12,Malaysia,-61.57142857142857,-37.142857142857146,20.428571428571427
2021-02-13,Malaysia,-62.42857142857143,-41.285714285714285,21.285714285714285
2021-02-14,Malaysia,-62.142857142857146,-42.714285714285715,21.428571428571427
2021-02-15,Malaysia,-62.285714285714285,-43.714285714285715,21.857142857142858
2021-02-16,Malaysia,-62.57142857142857,-44.142857142857146,22.142857142857142
2021-02-17,Malaysia,-62.857142857142854,-43.714285714285715,22.428571428571427
2021-02-18,Malaysia,-62.714285714285715,-41.42857142857143,22.142857142857142
