date,country_region,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,Malaysia,-3.0,2.0,2.0
2020-02-16,Malaysia,-3.0,1.0,2.0
2020-02-17,Malaysia,-4.0,1.3333333333333333,2.0
2020-02-18,Malaysia,-5.25,1.5,2.0
2020-02-19,Malaysia,-5.6,1.6,2.0
2020-02-20,Malaysia,-5.5,1.6666666666666667,1.8333333333333333
2020-02-21,Malaysia,-5.142857142857143,2.142857142857143,1.8571428571428572
2020-02-22,Malaysia,-4.857142857142857,2.142857142857143,1.7142857142857142
2020-02-23,Malaysia,-4.571428571428571,2.142857142857143,1.5714285714285714
2020-02-24,Malaysia,-4.571428571428571,2.142857142857143,1.5714285714285714
2020-02-25,Malaysia,-4.428571428571429,2.2857142857142856,1.4285714285714286
2020-02-26,Malaysia,-4.428571428571429,2.4285714285714284,1.2857142857142858
2020-02-27,Malaysia,-4.285714285714286,2.5714285714285716,1.2857142857142858
2020-02-28,Malaysia,-3.857142857142857,2.7142857142857144,1.1428571428571428
2020-02-29,Malaysia,-3.2857142857142856,2.7142857142857144,1.0
2020-03-01,Malaysia,-2.5714285714285716,2.7142857142857144,0.8571428571428571
2020-03-02,Malaysia,-2.2857142857142856,2.7142857142857144,0.7142857142857143
2020-03-03,Malaysia,-2.2857142857142856,2.7142857142857144,0.7142857142857143
2020-03-04,Malaysia,-2.2857142857142856,2.5714285714285716,0.8571428571428571
2020-03-05,Malaysia,-2.5714285714285716,2.4285714285714284,1.0
2020-03-06,Malaysia,-3.2857142857142856,2.4285714285714284,1.0
2020-03-07,Malaysia,-4.285714285714286,2.4285714285714284,1.1428571428571428
2020-03-08,Malaysia,-5.0,2.5714285714285716,1.2857142857142858
2020-03-09,Malaysia,-5.428571428571429,2.5714285714285716,1.2857142857142858
2020-03-10,Malaysia,-5.714285714285714,2.4285714285714284,1.2857142857142858
2020-03-11,Malaysia,-6.142857142857143,2.4285714285714284,1.2857142857142858
2020-03-12,Malaysia,-6.285714285714286,2.4285714285714284,1.2857142857142858
2020-03-13,Malaysia,-5.857142857142857,2.142857142857143,1.2857142857142858
2020-03-14,Malaysia,-5.428571428571429,1.4285714285714286,1.4285714285714286
2020-03-15,Malaysia,-5.571428571428571,0.0,1.5714285714285714
2020-03-16,Malaysia,-5.142857142857143,-1.8571428571428572,1.7142857142857142
2020-03-17,Malaysia,-3.2857142857142856,-3.7142857142857144,1.7142857142857142
2020-03-18,Malaysia,-7.0,-11.142857142857142,4.714285714285714
2020-03-19,Malaysia,-14.285714285714286,-19.428571428571427,8.714285714285714
2020-03-20,Malaysia,-24.142857142857142,-28.428571428571427,13.571428571428571
2020-03-21,Malaysia,-34.714285714285715,-35.857142857142854,17.857142857142858
2020-03-22,Malaysia,-46.0,-42.42857142857143,22.0
2020-03-23,Malaysia,-56.57142857142857,-50.714285714285715,27.142857142857142
2020-03-24,Malaysia,-68.14285714285714,-58.857142857142854,32.285714285714285
2020-03-25,Malaysia,-74.0,-61.285714285714285,34.285714285714285
2020-03-26,Malaysia,-76.71428571428571,-62.857142857142854,35.42857142857143
2020-03-27,Malaysia,-78.0,-63.57142857142857,36.0
2020-03-28,Malaysia,-78.85714285714286,-63.714285714285715,36.42857142857143
2020-03-29,Malaysia,-79.14285714285714,-63.285714285714285,36.42857142857143
2020-03-30,Malaysia,-79.28571428571429,-62.714285714285715,36.285714285714285
2020-03-31,Malaysia,-79.28571428571429,-62.285714285714285,36.142857142857146
2020-04-01,Malaysia,-79.57142857142857,-62.0,36.0
2020-04-02,Malaysia,-79.85714285714286,-61.714285714285715,36.142857142857146
2020-04-03,Malaysia,-80.14285714285714,-61.57142857142857,36.285714285714285
2020-04-04,Malaysia,-80.42857142857143,-61.42857142857143,36.42857142857143
2020-04-05,Malaysia,-80.57142857142857,-61.285714285714285,36.42857142857143
2020-04-06,Malaysia,-80.57142857142857,-61.142857142857146,36.42857142857143
2020-04-07,Malaysia,-80.71428571428571,-61.142857142857146,36.42857142857143
2020-04-08,Malaysia,-80.71428571428571,-61.142857142857146,36.57142857142857
2020-04-09,Malaysia,-80.71428571428571,-61.0,36.42857142857143
2020-04-10,Malaysia,-80.71428571428571,-61.0,36.42857142857143
2020-04-11,Malaysia,-80.57142857142857,-60.714285714285715,36.285714285714285
2020-04-12,Malaysia,-80.42857142857143,-60.57142857142857,36.285714285714285
