Date_reported,New_cases_MYS,Cumulative_cases_MYS,New_case_PHL,Cumulative_cases_PHL,New_case_VNM,Cumulative_cases_VNM
2021-01-24,25367.0,183801,13046.0,513619,11.0,1548
2021-01-31,31158.0,214959,11995.0,525614,271.0,1819
2021-02-07,27493.0,242452,11691.0,537305,186.0,2005
2021-02-14,21817.0,264269,11870.0,549175,224.0,2229
2021-02-21,19300.0,283569,11993.0,561168,154.0,2383
2021-02-28,17183.0,300752,15176.0,576344,65.0,2448
2021-03-07,12708.0,313460,18063.0,594407,64.0,2512
2021-03-14,10303.0,323763,27082.0,621489,42.0,2554
2021-03-21,9277.0,333040,42284.0,663773,18.0,2572
2021-03-28,8904.0,341944,58105.0,721878,19.0,2591
2021-04-04,9015.0,350959,73165.0,795043,40.0,2631
2021-04-11,9897.0,360856,69804.0,864847,65.0,2696
2021-04-18,14198.0,375054,71270.0,936117,89.0,2785
2021-04-25,17888.0,392942,61382.0,997499,61.0,2846
2021-05-02,22070.0,415012,57471.0,1054970,116.0,2962
2021-05-09,25665.0,440677,47010.0,1101980,450.0,3412
2021-05-16,29433.0,470110,41966.0,1143946,800.0,4212
2021-05-23,41981.0,512091,35845.0,1179791,1063.0,5275
2021-05-30,53442.0,565533,43826.0,1223617,1893.0,7168
2021-06-06,51282.0,616815,45848.0,1269465,1623.0,8791
2021-06-13,40693.0,657508,46162.0,1315627,1839.0,10630
2021-06-20,38900.0,696408,43363.0,1358990,2628.0,13258
2021-06-27,37640.0,734048,38994.0,1397984,2482.0,15740
2021-07-04,44604.0,778652,38370.0,1436354,4521.0,20261
2021-07-11,57644.0,836296,36509.0,1472863,10217.0,30478
2021-07-18,80265.0,916561,34882.0,1507745,25367.0,55845
2021-07-25,96877.0,1013438,40987.0,1548732,45328.0,101173
2021-08-01,116984.0,1130422,48863.0,1597595,56334.0,157507
2021-08-08,132118.0,1262540,61219.0,1658814,58053.0,215560
2021-08-15,142359.0,1404899,82422.0,1741236,59484.0,275044
2021-08-22,150194.0,1555093,98078.0,1839314,73015.0,348059
2021-08-29,150996.0,1706089,114522.0,1953836,87206.0,435265
2021-09-05,138746.0,1844835,127080.0,2080916,89042.0,524307
2021-09-12,134863.0,1979698,146410.0,2227326,89068.0,613375
2021-09-19,118132.0,2097830,139353.0,2366679,73688.0,687063
2021-09-26,100405.0,2198235,124120.0,2490799,69626.0,756689
2021-10-03,79330.0,2277565,102493.0,2593292,51889.0,808578
2021-10-10,62029.0,2339594,73230.0,2666522,31084.0,839662
2021-10-17,51093.0,2390687,53821.0,2720343,24391.0,864053
2021-10-24,41029.0,2431716,36559.0,2756902,24887.0,888940
2021-10-31,39926.0,2471642,30356.0,2787258,32182.0,921122
2021-11-07,34667.0,2506309,15949.0,2803207,47562.0,968684
2021-11-14,40000.0,2546309,13757.0,2816964,57838.0,1026522
2021-11-21,40292.0,2586601,8905.0,2825869,67992.0,1094514
2021-11-28,37215.0,2623816,5841.0,2831710,115826.0,1210340
2021-12-05,34956.0,2658772,2901.0,2834611,98752.0,1309092
2021-12-12,32867.0,2691639,1832.0,2836443,103959.0,1413051
2021-12-19,27316.0,2718955,1019.0,2837462,127427.0,1540478
2021-12-26,22224.0,2741179,1012.0,2838474,111195.0,1651673
2022-01-02,23175.0,2764354,13261.0,2851735,111367.0,1763040
2022-01-09,21865.0,2786219,113626.0,2965361,136535.0,1899575
2022-01-16,22128.0,2808347,239943.0,3205304,123971.0,2023546
2022-01-23,24598.0,2832945,211814.0,3417118,117876.0,2141422
2022-01-30,33039.0,2865984,128538.0,3545656,121631.0,2263053
2022-02-06,48236.0,2914220,63896.0,3609552,78918.0,2341971
2022-02-13,126015.0,3040235,27660.0,3637212,168889.0,2510860
2022-02-20,181445.0,3221680,14887.0,3652099,276633.0,2787493
2022-02-27,197956.0,3419636,8947.0,3661046,533512.0,3321005
2022-03-06,202971.0,3622607,6489.0,3667535,1113695.0,4434700
2022-03-13,200964.0,3823571,3204.0,3670739,1677948.0,6112648
2022-03-20,169553.0,3993124,3540.0,3674279,1845400.0,7958048
2022-03-27,145743.0,4138867,2710.0,3676989,1053425.0,9011473
2022-04-03,107600.0,4246467,2186.0,3679175,806855.0,9818328
2022-04-10,79351.0,4325818,1871.0,3681046,379908.0,10198236
2022-04-17,63207.0,4389025,1647.0,3682693,234311.0,10432547
2022-04-24,42048.0,4431073,1437.0,3684130,130955.0,10563502
2022-05-01,18434.0,4449507,1377.0,3685507,90024.0,10653526
2022-05-08,9382.0,4458889,1117.0,3686624,22658.0,10676184
2022-05-15,19223.0,4478112,1105.0,3687729,20446.0,10696630
2022-05-22,13208.0,4491320,1212.0,3688941,12257.0,10708887
2022-05-29,12414.0,4503734,1313.0,3690254,8364.0,10717251
2022-06-05,11255.0,4514989,1291.0,3691545,7988.0,10725239
2022-06-12,11309.0,4526298,1677.0,3693222,6573.0,10731812
2022-06-19,14314.0,4540612,3042.0,3696264,5828.0,10737640
2022-06-26,16052.0,4556664,4612.0,3700876,5808.0,10743448
2022-07-03,14691.0,4571355,6072.0,3706948,4679.0,10748127
2022-07-10,21355.0,4592710,9501.0,3716449,6221.0,10754348
2022-07-17,26315.0,4619025,14092.0,3730541,5502.0,10759850
2022-07-24,29906.0,4648931,18336.0,3748877,7350.0,10767200
2022-07-31,28339.0,4677270,23591.0,3772468,7479.0,10774679
2022-08-07,28554.0,4705824,26866.0,3799334,571458.0,11346137
2022-08-14,26678.0,4732502,28425.0,3827759,18218.0,11364355
2022-08-21,22786.0,4755288,24402.0,3852161,17903.0,11382258
2022-08-28,18715.0,4774003,20162.0,3872323,19339.0,11401597
2022-09-04,15549.0,4789552,16774.0,3889097,15906.0,11417503
2022-09-11,14072.0,4803624,17160.0,3906257,20467.0,11437970
2022-09-18,13627.0,4817251,12069.0,3918326,18588.0,11456558
2022-09-25,12963.0,4830214,16357.0,3934683,14782.0,11471340
2022-10-02,12291.0,4842505,17086.0,3951769,8688.0,11480028
2022-10-09,11018.0,4853523,13995.0,3965764,5333.0,11485361
2022-10-16,11957.0,4865480,14880.0,3980644,6912.0,11492273
2022-10-23,14525.0,4880005,12405.0,3993049,4556.0,11496829
2022-10-30,16750.0,4896755,9040.0,4002089,5340.0,11502169
2022-11-06,26783.0,4923538,6367.0,4008456,3439.0,11505608
2022-11-13,23045.0,4946583,7939.0,4016395,2839.0,11508447
2022-11-20,19083.0,4965666,8459.0,4024854,2731.0,11511178
2022-11-27,18606.0,4984272,7502.0,4032356,2996.0,11514174
2022-12-04,14558.0,4998830,7494.0,4039850,3343.0,11517517
2022-12-11,10937.0,5009767,8058.0,4047908,2928.0,11520445
2022-12-18,7249.0,5017016,7358.0,4055266,2305.0,11522750
2022-12-25,6290.0,5023306,4103.0,4059369,1452.0,11524202
2023-01-01,3371.0,5026677,3290.0,4062659,1029.0,11525231
2023-01-08,3231.0,5029908,4552.0,4067211,480.0,11525711
2023-01-15,2525.0,5032433,2797.0,4070008,407.0,11526118
2023-01-22,2088.0,5034521,1556.0,4071564,200.0,11526318
2023-01-29,1350.0,5035871,1181.0,4072745,77.0,11526395
2023-02-05,1913.0,5037784,1045.0,4073790,171.0,11526566
2023-02-12,1542.0,5039326,678.0,4074468,85.0,11526651
2023-02-19,1495.0,5040821,914.0,4075382,155.0,11526806
2023-02-26,1367.0,5042188,738.0,4076120,85.0,11526891
2023-03-05,1438.0,5043626,738.0,4076858,59.0,11526950
2023-03-12,1566.0,5045192,890.0,4077748,83.0,11527033
2023-03-19,1848.0,5047040,1061.0,4078809,83.0,11527116
2023-03-26,2228.0,5049268,1163.0,4079972,87.0,11527203
2023-04-02,3069.0,5052337,1541.0,4081513,113.0,11527316
2023-04-09,4574.0,5056911,1988.0,4083501,385.0,11527701
2023-04-16,4268.0,5061179,2025.0,4085526,2655.0,11530356
2023-04-23,5698.0,5066877,2438.0,4087964,12704.0,11543060
2023-04-30,4817.0,5071694,3890.0,4091854,16802.0,11559862
2023-05-07,146.0,5071840,9014.0,4100868,14069.0,11573931
2023-05-14,7596.0,5079436,12225.0,4113093,15636.0,11589567
2023-05-21,12209.0,5091645,12623.0,4125716,12192.0,11601759
2023-05-28,6439.0,5098084,11724.0,4137440,7778.0,11609537
2023-06-04,5801.0,5103885,9689.0,4147129,5046.0,11614583
2023-06-11,4523.0,5108408,7061.0,4154190,2914.0,11617497
2023-06-18,760.0,5109168,4394.0,4158584,1770.0,11619267
2023-06-25,3433.0,5112601,3647.0,4162231,780.0,11620047
2023-07-02,0.0,5112601,2845.0,4165076,549.0,11620596
2023-07-09,2698.0,5115299,423.0,4165499,437.0,11621033
2023-07-16,1548.0,5116847,2510.0,4168009,287.0,11621320
2023-07-23,1222.0,5118069,1938.0,4169947,279.0,11621599
2023-07-30,1202.0,5119271,1671.0,4171618,199.0,11621798
2023-08-06,958.0,5120229,1859.0,4173477,180.0,11621978
2023-08-13,934.0,5121163,154.0,4173631,226.0,11622204
2023-08-20,695.0,5121858,-65079.0,4108552,200.0,11622404
2023-08-27,710.0,5122568,342.0,4108894,279.0,11622683
2023-09-03,1233.0,5123801,1311.0,4110205,229.0,11622912
2023-09-10,680.0,5124481,138.0,4110343,270.0,11623182
2023-09-17,728.0,5125209,988.0,4111331,190.0,11623372
2023-09-24,691.0,5125900,962.0,4112293,199.0,11623571
2023-10-01,783.0,5126683,1141.0,4113434,127.0,11623698
2023-10-08,933.0,5127616,1246.0,4114680,147.0,11623845
2023-10-15,1052.0,5128668,1034.0,4115714,142.0,11623987
2023-10-22,1132.0,5129800,1469.0,4117183,13.0,11624000
2023-10-29,1339.0,5131139,1198.0,4118381,0.0,11624000
2023-11-05,1692.0,5132831,1097.0,4119478,0.0,11624000
2023-11-12,1801.0,5134632,933.0,4120411,0.0,11624000
2023-11-19,2305.0,5136937,914.0,4121325,0.0,11624000
2023-11-26,3626.0,5140563,1333.0,4122658,0.0,11624000
2023-12-03,6796.0,5147359,1262.0,4123920,0.0,11624000
2023-12-10,12757.0,5160116,1163.0,4125083,0.0,11624000
2023-12-17,20696.0,5180812,1377.0,4126460,0.0,11624000
2023-12-24,25912.0,5206724,2501.0,4128961,0.0,11624000
2023-12-31,20598.0,5227322,3239.0,4132200,0.0,11624000
2024-01-07,0.0,5227322,3145.0,4135345,0.0,11624000
2024-01-14,29687.0,5257009,3219.0,4138564,0.0,11624000
2024-01-21,8358.0,5265367,1819.0,4140383,0.0,11624000
2024-01-28,4600.0,5269967,0.0,4140383,0.0,11624000
2024-02-04,2550.0,5272517,0.0,4140383,0.0,11624000
2024-02-11,1479.0,5273996,0.0,4140383,0.0,11624000
2024-02-18,790.0,5274786,0.0,4140383,0.0,11624000
2024-02-25,881.0,5275667,0.0,4140383,0.0,11624000
2024-03-03,645.0,5276312,0.0,4140383,0.0,11624000
2024-03-10,568.0,5276880,0.0,4140383,0.0,11624000
2024-03-17,593.0,5277473,0.0,4140383,0.0,11624000
2024-03-24,512.0,5277985,0.0,4140383,0.0,11624000
2024-03-31,421.0,5278406,0.0,4140383,0.0,11624000
2024-04-07,493.0,5278899,0.0,4140383,0.0,11624000
2024-04-14,246.0,5279145,0.0,4140383,0.0,11624000
