Date_reported,New_cases_MYS,Cumulative_cases_MYS,New_case_PHL,Cumulative_cases_PHL,New_case_VNM,Cumulative_cases_VNM
2020-01-05,0.0,0,0.0,0,0.0,0
2020-01-12,0.0,0,0.0,0,0.0,0
2020-01-19,0.0,0,0.0,0,0.0,0
2020-01-26,4.0,4,0.0,0,2.0,2
2020-02-02,4.0,8,1.0,1,4.0,6
2020-02-09,8.0,16,2.0,3,7.0,13
2020-02-16,6.0,22,0.0,3,3.0,16
2020-02-23,0.0,22,0.0,3,0.0,16
2020-03-01,3.0,25,0.0,3,0.0,16
2020-03-08,68.0,93,3.0,6,4.0,20
2020-03-15,145.0,238,105.0,111,33.0,53
2020-03-22,945.0,1183,196.0,307,41.0,94
2020-03-29,1137.0,2320,768.0,1075,80.0,174
2020-04-05,1163.0,3483,2019.0,3094,66.0,240
2020-04-12,1047.0,4530,1334.0,4428,18.0,258
2020-04-19,775.0,5305,1659.0,6087,10.0,268
2020-04-26,437.0,5742,1207.0,7294,2.0,270
2020-05-03,434.0,6176,1634.0,8928,0.0,270
2020-05-10,413.0,6589,1682.0,10610,18.0,288
2020-05-17,283.0,6872,1695.0,12305,30.0,318
2020-05-24,313.0,7185,1472.0,13777,7.0,325
2020-05-31,577.0,7762,3447.0,17224,3.0,328
2020-06-07,541.0,8303,4116.0,21340,1.0,329
2020-06-14,142.0,8445,4051.0,25391,5.0,334
2020-06-21,111.0,8556,4008.0,29399,15.0,349
2020-06-28,60.0,8616,5403.0,34802,6.0,355
2020-07-05,42.0,8658,7028.0,41830,0.0,355
2020-07-12,46.0,8704,12305.0,54135,15.0,370
2020-07-19,60.0,8764,11080.0,65215,12.0,382
2020-07-26,120.0,8884,13123.0,78338,36.0,418
2020-08-02,101.0,8985,19815.0,98153,172.0,590
2020-08-09,85.0,9070,28651.0,126804,222.0,812
2020-08-16,105.0,9175,31114.0,157918,139.0,951
2020-08-23,82.0,9257,29305.0,187223,63.0,1014
2020-08-30,60.0,9317,25889.0,213112,26.0,1040
2020-09-06,74.0,9391,21414.0,234526,9.0,1049
2020-09-13,477.0,9868,23337.0,257863,11.0,1060
2020-09-20,299.0,10167,25568.0,283431,8.0,1068
2020-09-27,602.0,10769,17800.0,301231,1.0,1069
2020-10-04,1319.0,12088,18076.0,319307,27.0,1096
2020-10-11,3008.0,15096,17532.0,336839,11.0,1107
2020-10-18,4531.0,19627,17414.0,354253,19.0,1126
2020-10-25,6115.0,25742,13552.0,367805,34.0,1160
2020-11-01,5806.0,31548,12912.0,380717,20.0,1180
2020-11-08,7809.0,39357,13236.0,393953,33.0,1213
2020-11-15,6852.0,46209,12355.0,406308,52.0,1265
2020-11-22,7470.0,53679,10542.0,416850,41.0,1306
2020-11-29,9497.0,63176,10940.0,427790,35.0,1341
2020-12-06,8183.0,71359,10276.0,438066,24.0,1365
2020-12-13,10887.0,82246,10265.0,448331,30.0,1395
2020-12-20,9723.0,91969,9704.0,458035,16.0,1411
2020-12-27,11931.0,103900,10968.0,469003,29.0,1440
2021-01-03,15177.0,119077,8799.0,477802,54.0,1494
2021-01-10,16915.0,135992,9882.0,487684,20.0,1514
2021-01-17,22442.0,158434,12889.0,500573,23.0,1537
